# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   16.3  C    -1 UNKNOWN      0 |    0    0    0    0 |  0.0  0.0  0.0
   16.3  D    -1 UNKNOWN      0 |    1    1    1    3 | 33.3 33.3 33.3
   16.6  C    -1 UNKNOWN      0 |    0    0    0    0 |  0.0  0.0  0.0
   16.6  D    -1 UNKNOWN      0 |    3    1    3    5 | 42.9 14.3 42.9
   16.8  C    -1 UNKNOWN      0 |    3    3    0    5 | 50.0 50.0  0.0
   16.8  D    -1 UNKNOWN      0 |    3    2    3    5 | 37.5 25.0 37.5
   17.1  C    -1 UNKNOWN      0 |    2    2    2    3 | 33.3 33.3 33.3
   17.1  D    -1 UNKNOWN      0 |    1    2    1    4 | 25.0 50.0 25.0
   17.3  C    -1 UNKNOWN      0 |    5    3    4    9 | 41.7 25.0 33.3
   17.3  D    -1 UNKNOWN      0 |    1    1    1    3 | 33.3 33.3 33.3
   17.6  C    -1 UNKNOWN      0 |    5    3    4    9 | 41.7 25.0 33.3
   17.6  D    -1 UNKNOWN      0 |    1    0    1    3 | 50.0  0.0 50.0
   17.8  C    -1 UNKNOWN      0 |    1    1    0    2 | 50.0 50.0  0.0
   17.8  D    -1 UNKNOWN      0 |    1    0    1    2 | 50.0  0.0 50.0
   18.1  C    -1 UNKNOWN      0 |    2    1    2    4 | 40.0 20.0 40.0
   18.1  D    -1 UNKNOWN      0 |    1    0    1    3 | 50.0  0.0 50.0
   18.3  C    -1 UNKNOWN      0 |    0    0    0    0 |  0.0  0.0  0.0
   18.3  D    -1 UNKNOWN      0 |    1    1    1    3 | 33.3 33.3 33.3
   18.6  C    -1 UNKNOWN      0 |    0    0    0    0 |  0.0  0.0  0.0
   18.6  D    -1 UNKNOWN      0 |    1    1    1    3 | 33.3 33.3 33.3
   18.8  C    -1 UNKNOWN      0 |    3    3    2    5 | 37.5 37.5 25.0
   18.8  D    -1 UNKNOWN      0 |    3    1    2    5 | 50.0 16.7 33.3
   19.1  C    -1 UNKNOWN      0 |    2    2    2    5 | 33.3 33.3 33.3
   19.1  D    -1 UNKNOWN      0 |    4    2    2    6 | 50.0 25.0 25.0
   19.3  C    -1 UNKNOWN      1 |    7    4    4   12 | 46.7 26.7 26.7
   19.3  D    -1 UNKNOWN      0 |    2    2    1    4 | 40.0 40.0 20.0
   19.6  C    -1 UNKNOWN      1 |    7    4    4   11 | 46.7 26.7 26.7
   19.6  D    -1 UNKNOWN      0 |    3    2    1    5 | 50.0 33.3 16.7
   19.8  C    -1 UNKNOWN      0 |    3    2    2    5 | 42.9 28.6 28.6
   19.8  D    -1 UNKNOWN      0 |    3    2    3    5 | 37.5 25.0 37.5
   20.1  C    -1 UNKNOWN      0 |    3    2    2    5 | 42.9 28.6 28.6
   20.1  D    -1 UNKNOWN      0 |    3    2    3    6 | 37.5 25.0 37.5
   20.3  C    -1 UNKNOWN      0 |    1    0    0    1 | 100.0  0.0  0.0
   20.3  D    -1 UNKNOWN      0 |    1    2    1    5 | 25.0 50.0 25.0
   20.6  C    -1 UNKNOWN      0 |    2    2    2    5 | 33.3 33.3 33.3
   20.6  D    -1 UNKNOWN      0 |    2    2    3    5 | 28.6 28.6 42.9
   20.8  C    -1 UNKNOWN      1 |    8    6    6   14 | 40.0 30.0 30.0
   20.8  D    -1 UNKNOWN      0 |    6    2    2   10 | 60.0 20.0 20.0
   21.1  C    -1 UNKNOWN      1 |    7    6    6   14 | 36.8 31.6 31.6
   21.1  D    -1 UNKNOWN      1 |    9    5    5   15 | 47.4 26.3 26.3
   21.3  C    -1 UNKNOWN      1 |    9    6    6   16 | 42.9 28.6 28.6
   21.3  D    -1 UNKNOWN      2 |   14    8    7   21 | 48.3 27.6 24.1
   21.6  C    -1 UNKNOWN      1 |    9    7    8   18 | 37.5 29.2 33.3
   21.6  D    -1 UNKNOWN      2 |   18    9    9   28 | 50.0 25.0 25.0
   21.8  C    -1 UNKNOWN      0 |    4    3    4    7 | 36.4 27.3 36.4
   21.8  D    -1 UNKNOWN      4 |   32   16   14   48 | 51.6 25.8 22.6
   22.1  C    -1 UNKNOWN      0 |    4    3    4    7 | 36.4 27.3 36.4
