# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- YELLOW_NOTE  10:04:40  (5 s) ---
SV,YELLOW_NOTE,D,4447,0,BLACK,22,93,106,114,234
SV,YELLOW_NOTE,C,4548,10,WHITE,39,176,180,178,406
SV,YELLOW_NOTE,D,4548,0,BLACK,23,97,110,119,243
SV,YELLOW_NOTE,C,4649,10,WHITE,40,178,182,181,412
SV,YELLOW_NOTE,D,4649,0,BLACK,23,98,111,119,245
SV,YELLOW_NOTE,C,4750,10,WHITE,40,179,184,183,416
SV,YELLOW_NOTE,D,4750,0,BLACK,23,97,110,119,245
SV,YELLOW_NOTE,C,4851,10,WHITE,40,179,184,183,414
SV,YELLOW_NOTE,D,4851,0,BLACK,23,98,111,119,245
SV,YELLOW_NOTE,C,4952,10,WHITE,40,178,182,181,411
SV,YELLOW_NOTE,D,4952,0,BLACK,24,99,113,121,247
SV,YELLOW_NOTE,C,5053,10,WHITE,40,179,184,183,414
SV,YELLOW_NOTE,D,5053,0,BLACK,24,99,113,121,249
SV,YELLOW_NOTE,C,5154,10,WHITE,41,186,190,191,430
SV,YELLOW_NOTE,D,5154,0,BLACK,25,105,119,128,263
SV,YELLOW_NOTE,C,5255,10,WHITE,46,208,213,209,479
SV,YELLOW_NOTE,D,5255,0,BLACK,28,117,133,142,292
SV,YELLOW_NOTE,C,5356,10,WHITE,48,216,223,219,499
SV,YELLOW_NOTE,D,5356,10,WHITE,30,126,143,154,315
SV,YELLOW_NOTE,C,5458,10,WHITE,48,214,221,217,495
SV,YELLOW_NOTE,D,5458,0,BLACK,29,122,139,148,306
SV,YELLOW_NOTE,C,5559,10,WHITE,47,212,217,215,491
SV,YELLOW_NOTE,D,5559,0,BLACK,28,117,134,143,293
SV,YELLOW_NOTE,C,5660,10,WHITE,47,209,215,211,483
SV,YELLOW_NOTE,D,5660,0,BLACK,30,123,139,150,308
SV,YELLOW_NOTE,C,5761,10,WHITE,41,179,188,189,423
SV,YELLOW_NOTE,D,5761,0,BLACK,27,108,127,142,278
SV,YELLOW_NOTE,C,5862,10,WHITE,39,167,181,185,403
SV,YELLOW_NOTE,D,5862,-1,UNKNOWN,25,98,122,138,263
SV,YELLOW_NOTE,C,5964,10,WHITE,41,177,189,191,422
SV,YELLOW_NOTE,D,5964,-1,UNKNOWN,26,105,127,143,276
SV,YELLOW_NOTE,C,6065,10,WHITE,41,180,190,191,425
SV,YELLOW_NOTE,D,6065,0,BLACK,27,107,127,142,278
SV,YELLOW_NOTE,C,6166,10,WHITE,41,179,189,191,423
SV,YELLOW_NOTE,D,6166,0,BLACK,27,108,127,143,279
SV,YELLOW_NOTE,C,6267,10,WHITE,42,183,193,194,432
SV,YELLOW_NOTE,D,6267,0,BLACK,28,111,131,147,288
SV,YELLOW_NOTE,C,6368,10,WHITE,42,183,192,193,431
SV,YELLOW_NOTE,D,6368,0,BLACK,28,114,133,147,292
SV,YELLOW_NOTE,C,6469,10,WHITE,43,193,200,200,449
SV,YELLOW_NOTE,D,6469,0,BLACK,27,111,130,142,283
SV,YELLOW_NOTE,C,6570,10,WHITE,39,174,181,181,409
SV,YELLOW_NOTE,D,6570,0,BLACK,24,98,114,124,249
