# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   24.6  C    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   24.6  D    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   24.9  C    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   24.9  D    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   25.1  C    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   25.1  D    -1 UNKNOWN      2 |    9   10   11   24 | 30.0 33.3 36.7
   25.4  C    -1 UNKNOWN      2 |    8    9   11   22 | 28.6 32.1 39.3
   25.4  D    -1 UNKNOWN      2 |   10   11   13   25 | 29.4 32.4 38.2
   25.6  C    -1 UNKNOWN      2 |    8   10   11   22 | 27.6 34.5 37.9
   25.6  D    -1 UNKNOWN      2 |   10   11   13   24 | 29.4 32.4 38.2
   25.9  C    -1 UNKNOWN     99 |  830  928  693 1023 | 33.9 37.9 28.3
   25.9  D    10 WHITE       99 | 1024 1024  925 1023 | 34.4 34.4 31.1
   26.1  C    10 WHITE       99 | 1024 1024  884 1023 | 34.9 34.9 30.2
   26.1  D     6 GREEN      100 |  746  921  612 1024 | 32.7 40.4 26.9
   26.4  C    10 WHITE       99 | 1024 1024  899 1023 | 34.7 34.7 30.5
   26.4  D    10 WHITE       99 | 1024 1024  971 1023 | 33.9 33.9 32.2
   26.6  C    10 WHITE       99 |  974 1024  830 1023 | 34.4 36.2 29.3
   26.6  D    10 WHITE       99 | 1024 1024  886 1023 | 34.9 34.9 30.2
   26.9  C    10 WHITE       99 |  926 1024  776 1023 | 34.0 37.6 28.5
   26.9  D    10 WHITE       99 | 1024 1024  867 1023 | 35.1 35.1 29.7
   27.1  C    -1 UNKNOWN     99 |  875  999  738 1023 | 33.5 38.2 28.3
   27.1  D    10 WHITE       99 | 1024 1024  961 1023 | 34.0 34.0 31.9
   27.4  C    10 WHITE       99 |  919 1024  774 1023 | 33.8 37.7 28.5
   27.4  D    10 WHITE       99 | 1024 1024  971 1023 | 33.9 33.9 32.2
   27.6  C    10 WHITE       99 |  979 1024  839 1023 | 34.4 36.0 29.5
   27.6  D    10 WHITE       99 | 1024 1024  965 1023 | 34.0 34.0 32.0
   27.9  C    10 WHITE       99 | 1024 1024  905 1023 | 34.7 34.7 30.6
   27.9  D    10 WHITE      100 |  932 1024  776 1024 | 34.1 37.5 28.4
   28.1  C    10 WHITE       99 | 1024 1024  901 1023 | 34.7 34.7 30.6
   28.1  D    -1 UNKNOWN    100 |  900 1024  756 1024 | 33.6 38.2 28.2
   28.4  C    10 WHITE       99 | 1024 1024  907 1023 | 34.7 34.7 30.7
   28.4  D     6 GREEN      100 |  847 1022  705 1024 | 32.9 39.7 27.4
   28.6  C    -1 UNKNOWN     10 |   42   48   35  105 | 33.6 38.4 28.0
   28.6  D    -1 UNKNOWN     16 |   72   84   61  173 | 33.2 38.7 28.1
   28.9  C    -1 UNKNOWN      2 |    8    9   11   22 | 28.6 32.1 39.3
   28.9  D    -1 UNKNOWN      2 |    9   10   11   25 | 30.0 33.3 36.7
   29.1  C    -1 UNKNOWN      2 |    8    9   11   22 | 28.6 32.1 39.3
   29.1  D    -1 UNKNOWN      2 |    9   10   11   23 | 30.0 33.3 36.7
   29.4  C    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   29.4  D    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   29.6  C    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   29.6  D    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   29.9  C    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   29.9  D    -1 UNKNOWN      2 |    9   10   11   23 | 30.0 33.3 36.7
   30.1  C    -1 UNKNOWN      2 |    8    9   11   22 | 28.6 32.1 39.3
   30.1  D     0 BLACK       27 |  121  137  136  283 | 30.7 34.8 34.5
   30.4  C    -1 UNKNOWN     77 |  246  383  425  789 | 23.3 36.3 40.3
   30.4  D    -1 UNKNOWN     99 |  353  524  590 1020 | 24.1 35.7 40.2
   30.6  C     4 AZURE       99 |  527  893 1004 1023 | 21.7 36.8 41.4
   30.6  D     4 AZURE       99 |  532  892 1019 1023 | 21.8 36.5 41.7
   30.9  C     4 AZURE      100 |  550  981 1024 1024 | 21.5 38.4 40.1
   30.9  D     4 AZURE       99 |  544  992 1024 1023 | 21.3 38.8 40.0
   31.1  C     4 AZURE      100 |  521  988 1024 1024 | 20.6 39.0 40.4
   31.1  D     4 AZURE      100 |  517  996 1024 1024 | 20.4 39.3 40.4
   31.4  C     4 AZURE      100 |  563 1009 1024 1024 | 21.7 38.9 39.4
   31.4  D    -1 UNKNOWN    100 |  467  705  783 1024 | 23.9 36.1 40.1
   31.6  C     6 GREEN       99 |  568 1024 1024 1023 | 21.7 39.1 39.1
   31.6  D    -1 UNKNOWN      2 |    9   11   13   25 | 27.3 33.3 39.4
   31.9  C     4 AZURE      100 |  522  995 1024 1024 | 20.5 39.2 40.3
   31.9  D    -1 UNKNOWN      2 |    9   10   11   23 | 30.0 33.3 36.7
   32.1  C     4 AZURE      100 |  514  988 1024 1024 | 20.3 39.1 40.5
   32.1  D    -1 UNKNOWN      2 |    8   10   11   22 | 27.6 34.5 37.9
   32.4  C     4 AZURE      100 |  530 1008 1024 1024 | 20.7 39.3 40.0
   32.4  D    -1 UNKNOWN      2 |    9   10   11   22 | 30.0 33.3 36.7
   32.6  C     6 GREEN      100 |  575 1024 1024 1024 | 21.9 39.0 39.0
   32.6  D    -1 UNKNOWN     13 |   52   69   75  141 | 26.5 35.2 38.3
   32.9  C     4 AZURE       99 |  528  872  972 1023 | 22.3 36.8 41.0
   32.9  D     4 AZURE       99 |  479  877 1023 1023 | 20.1 36.9 43.0
   33.1  C    10 WHITE       35 |  147  154  155  361 | 32.2 33.8 34.0
   33.1  D     4 AZURE       99 |  526  994 1024 1023 | 20.7 39.1 40.3
   33.4  C    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   33.4  D     4 AZURE       99 |  467  869 1013 1023 | 19.9 37.0 43.1
   33.6  C    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   33.6  D     4 AZURE       99 |  490  911 1024 1023 | 20.2 37.6 42.2
   33.9  C    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   33.9  D    -1 UNKNOWN     99 |  371  511  580 1022 | 25.4 35.0 39.7
   34.1  C    -1 UNKNOWN      1 |    7    9   11   19 | 25.9 33.3 40.7
   34.1  D    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   34.4  C    -1 UNKNOWN      1 |    8    9   11   19 | 28.6 32.1 39.3
   34.4  D    -1 UNKNOWN      2 |    9   10   11   22 | 30.0 33.3 36.7
   34.6  C    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   34.6  D    -1 UNKNOWN      2 |    9   10   11   24 | 30.0 33.3 36.7
   34.9  C    -1 UNKNOWN      2 |    8    9   11   21 | 28.6 32.1 39.3
   34.9  D    -1 UNKNOWN      2 |    9   10   11   22 | 30.0 33.3 36.7
   35.1  C    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   35.1  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   35.4  C    -1 UNKNOWN      1 |    8    9   11   20 | 28.6 32.1 39.3
   35.4  D    -1 UNKNOWN      1 |    7    9   10   20 | 26.9 34.6 38.5
   35.6  C    -1 UNKNOWN      3 |   16   13   14   34 | 37.2 30.2 32.6
   35.6  D    -1 UNKNOWN      2 |    9   10   11   22 | 30.0 33.3 36.7
   35.9  C     9 RED         18 |  111   54   65  192 | 48.3 23.5 28.3
   35.9  D    -1 UNKNOWN      2 |    8   10   11   21 | 27.6 34.5 37.9
   36.1  C    -1 UNKNOWN     36 |  226  134  148  377 | 44.5 26.4 29.1
   36.1  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   36.4  C     9 RED         79 |  533  244  288  813 | 50.0 22.9 27.0
